name,physical_add,postal_add,phone_no
Acacia Hill School,"80 Spearwood Rd, NT, Alice Springs, 0870","PO Box 435, NT, ALICE SPRINGS, 0871",(08) 895 52222
Adelaide River School,"31 Memorial Tce, NT, Adelaide River, 0846","C/- Post Office, NT, Adelaide River, 0846",(08) 8976 7034
Alawa Pre School,"27 Pett St, NT, Alawa",",",(08) 899 77666
